Field|Description
group_id|
adj_run_created_date|
billing_period_end|
billing_period_id|
billing_period_start|
inv_generated| AMS INV (Sales and Purchases) checking
mf_generated| AMS MF (Market Fee) checking
mru_installments|
parent_job|
run_id|
sp_generated| AMS SP (Sales and Purchases) checking
